index	id	test_stat	P-value	time
1	csite_0	0.1302	7.18246e-01	0.53
2	csite_1	27.0127	2.02125e-07	0.73
3	csite_2	10.5102	1.18716e-03	0.36
4	csite_3	3.6078	5.75100e-02	0.26
5	csite_4	0.0000	9.99981e-01	0.54
6	csite_5	0.4609	4.97183e-01	0.37
7	csite_6	3.4576	6.29599e-02	0.32
8	csite_7	7.8392	5.11250e-03	0.30
9	csite_8	3.7408	5.30995e-02	0.33
10	csite_9	11.3574	7.51492e-04	0.48
11	csite_10	0.0933	7.60075e-01	0.45
12	csite_11	14.2017	1.64223e-04	0.26
13	csite_12	1.1828	2.76781e-01	0.33
14	csite_13	0.0005	9.82425e-01	0.45
15	csite_14	2.3553	1.24859e-01	0.34
16	csite_15	0.0899	7.64242e-01	0.66
17	csite_16	0.2122	6.45046e-01	0.55
18	csite_17	7.1072	7.67759e-03	0.36
19	csite_18	0.4328	5.10632e-01	0.65
20	csite_19	0.6311	4.26968e-01	0.45
21	csite_20	5.1631	2.30723e-02	0.27
22	csite_21	0.2544	6.13962e-01	0.30
23	csite_22	3.5973	5.78729e-02	0.29
24	csite_23	0.3913	5.31603e-01	0.40
25	csite_24	0.0000	9.97515e-01	0.57
26	csite_25	0.2875	5.91832e-01	0.34
27	csite_26	0.9048	3.41505e-01	0.24
28	csite_27	0.0726	7.87618e-01	0.57
29	csite_28	3.3737	6.62448e-02	0.32
30	csite_29	1.5450	2.13869e-01	0.32
31	csite_30	2.6430	1.04005e-01	0.36
32	csite_31	1.0696	3.01040e-01	0.42
33	csite_32	18.9294	1.35649e-05	0.25
34	csite_33	10.3717	1.27964e-03	0.45
35	csite_34	0.7852	3.75569e-01	0.47
36	csite_35	4.1141	4.25272e-02	0.49
37	csite_36	7.5242	6.08743e-03	0.38
38	csite_37	0.1728	6.77608e-01	0.92
39	csite_38	2.5355	1.11310e-01	0.32
40	csite_39	2.1217	1.45228e-01	0.36
41	csite_40	2.6559	1.03166e-01	0.40
42	csite_41	4.9969	2.53934e-02	0.42
43	csite_42	3.2408	7.18274e-02	0.47
44	csite_43	1.4308	2.31631e-01	0.42
45	csite_44	2.4087	1.20659e-01	0.42
46	csite_45	3.5543	5.93928e-02	0.61
47	csite_46	0.4578	4.98653e-01	0.37
48	csite_47	0.0017	9.67340e-01	0.63
49	csite_48	5.1092	2.37993e-02	0.38
50	csite_49	1.0966	2.95004e-01	0.56
51	csite_50	0.0059	9.38995e-01	0.63
52	csite_51	0.3646	5.45941e-01	0.41
53	csite_52	3.8501	4.97416e-02	0.28
54	csite_53	0.2941	5.87574e-01	0.36
55	csite_54	3.3555	6.69807e-02	0.36
56	csite_55	0.9995	3.17425e-01	0.31
57	csite_56	2.0567	1.51541e-01	0.39
58	csite_57	0.2526	6.15232e-01	0.60
